Filename,Description,Keywords,Categories,Editorial,Mature content,illustration
minimalist-table-setting-with-candle-and-napkin-for-elegant-dining.jpg,"A minimalist table setting featuring a white napkin with a dark band and a candle in a holder, evoking elegance and simplicity.","table, setting, minimalist, candle, napkin, elegant, dining, simplicity, decor, home, interior, design, still, life, object, food, meal, dinner, party, celebration, gathering, event, occasion, festive, warmth, light, shadow, contrast, color, brown, white, dark, texture, surface, background, studio, shot, composition, arrangement, clean, modern, style, tasteful, sophisticated, refined, calm, serene, peaceful, atmosphere",Abstract,no,,
elegant-table-setting-with-napkin-ring-and-candle-holder.jpg,"A close-up of a beautifully arranged table setting featuring a white cloth napkin secured with a decorative ring, a wooden plate, and a tall candle in a holder.","table, setting, napkin, ring, candle, holder, plate, wooden, cloth, white, elegant, decor, dining, meal, dinner, party, celebration, event, home, interior, design, style, modern, minimalist, rustic, warm, lighting, shadow, surface, brown, texture, detail, still, life, composition, focus, background, object, accessory, serveware, linen, ornament, arrangement, gourmet, cuisine, restaurant, hospitality, gather, festive",Abstract,no,,
minimalist-ceramic-candle-holder-with-a-single-dark-candle-on-a-wooden-table.jpg,"A single dark candle stands tall in a unique ceramic candle holder on a warm wooden table, creating a minimalist and cozy atmosphere.","candle, holder, ceramic, minimalist, table, wooden, dark, tall, unique, single, atmosphere, cozy, warm, decor, object, still, life, design, home, interior, lighting, element, composition, background, brown, texture, surface, simple, modern, elegant, rustic, craft, handicraft, artisan, studio, shot, focus, detail, shadow, light, warmth, comfort, peaceful, serene, calm, tranquil, evening, night, romance",Abstract,no,,
sweet-treats-on-wooden-trays-with-textured-background.jpg,"Close-up of delicious sweet treats served on unique wooden trays against a textured brown background, perfect for culinary themes.","sweet, treats, wooden, trays, textured, background, dessert, food, snack, confectionery, pastry, cake, cupcake, cookie, biscuit, stack, round, paper, liner, cup, display, serving, dish, platter, holder, natural, material, wood, grain, pattern, organic, shape, leaf, cutout, table, surface, brown, earthy, tone, color, warm, lighting, shadow, soft, focus, macro, detail, gourmet, bakery",Backgrounds/Textures,no,,
two-sage-green-ceramic-mugs-on-wooden-coasters-on-a-terracotta-surface.jpg,"Two sage green ceramic mugs sit on rustic wooden coasters arranged on a warm terracotta colored surface, creating a cozy and inviting scene.","mug, cup, drink, beverage, coffee, tea, ceramic, green, sage, coaster, wood, wooden, surface, table, background, warm, cozy, inviting, still, life, object, kitchen, home, decor, minimalist, modern, simple, clean, design, style, aesthetic, composition, arrangement, display, studio, shot, indoor, domestic, comfort, relaxation, morning, afternoon, evening, refreshment, hydration, container, handle, round, smooth",Backgrounds/Textures,no,,
cozy-morning-coffee-mug-on-wooden-coaster-with-warm-lighting.jpg,"A white ceramic coffee mug with a dark rim sits on a stylish wooden and marble coaster, evoking a sense of warmth and comfort.","mug, coffee, cup, drink, beverage, ceramic, kitchen, table, coaster, wood, marble, pattern, speckled, white, brown, warm, lighting, shadow, still, life, home, decor, interior, design, minimalist, modern, rustic, natural, material, texture, surface, object, container, handle, breakfast, morning, refreshment, leisure, relaxation, comfort, cozy, hygge, simple, clean, studio, shot, focus, foreground, background",Abstract,no,,
minimalist-wooden-candlestick-holder-with-tall-candle-on-brown-background.jpg,A single minimalist wooden candlestick holder stands on a table with a tall dark candle. The background is a solid brown color.,"candle, holder, wood, minimalist, design, object, decor, home, interior, light, warmth, evening, shadow, table, brown, background, simple, modern, rustic, craft, handmade, artisan, sculpture, decorative, still, life, composition, studio, shot, isolated, single, element, focus, detail, texture, grain, natural, material, shape, form, vertical, tall, slender, dark, wax, flame, burning, atmosphere, mood",Abstract,no,,
gourmet-chocolate-squares-arranged-on-a-wooden-tray-with-cups.jpg,"Artfully arranged gourmet chocolate squares in a wooden tray, with two green cups on a textured surface, creating an elegant dessert display.","chocolate, gourmet, sweets, dessert, food, confectionery, treat, snack, cuisine, delicious, tasty, sugar, cocoa, pastry, bakery, sweetness, indulgence, rich, dark, milk, white, bean, bar, praline, bonbon, truffle, ganache, caramel, nut, fruit, liqueur, spice, vanilla, mint, coffee, alcohol, Squares, Arranged, Wooden, Tray, with, Cups, Artfully, two, green, textured, surface, creating, elegant",Backgrounds/Textures,no,,
desk-with-molecular-model-and-pencils-in-a-cup.jpg,"A close-up view of a desk surface featuring a molecular model, a cup filled with pencils, and a notebook.","desk, molecular, model, pencils, cup, notebook, science, education, study, learning, chemistry, biology, atom, structure, molecule, research, innovation, discovery, knowledge, creativity, office, workspace, table, surface, object, item, supply, stationery, writing, drawing, art, design, concept, idea, abstract, geometric, pattern, composition, arrangement, detail, close-up, focus, background, brown, wood, paper, tool, equipment, technology",Abstract,no,,
wooden-puzzle-pieces-and-craft-supplies-on-a-brown-surface.jpg,"A collection of wooden puzzle pieces and craft supplies are arranged on a textured brown surface, suggesting a creative project.","wood, puzzle, craft, piece, wooden, toy, game, hobby, creativity, design, construction, building, assembly, childhood, education, learning, development, skill, strategy, challenge, leisure, activity, play, fun, indoor, home, table, surface, background, brown, neutral, color, texture, material, natural, organic, simple, minimalist, clean, modern, art, handmade, DIY, project, idea, concept, focus, close-up, detail",Backgrounds/Textures,no,,
elegant-wooden-candlestick-with-tall-candle-on-earth-toned-surface.jpg,"A single tall, slender candle stands in an ornate wooden candlestick on a textured, earth-toned surface. The background is a solid, warm brown.","candle, candlestick, holder, light, flame, wax, burn, tall, slender, wooden, wood, carved, ornate, decorative, object, item, home, decor, interior, design, style, elegant, sophisticated, minimalist, simple, clean, earth, toned, brown, surface, table, background, solid, warm, color, hue, shade, texture, pattern, still, life, composition, studio, shot, photography, focus, sharp, detail, craft",Backgrounds/Textures,no,,
