fileName,"uniqueId","elementName","keywords","tier","contentType"
minimalist-table-setting-with-candle-and-napkin-for-elegant-dining,"","minimalist-table-setting-with-candle-and-napkin-for-elegant-dining","table, setting, minimalist, candle, napkin, elegant, dining, simplicity, decor, home, interior, design, still, life, object, food, meal, dinner, party, celebration, gathering, event, occasion, festive, warmth","Premium",""
elegant-table-setting-with-napkin-ring-and-candle-holder,"","elegant-table-setting-with-napkin-ring-and-candle-holder","table, setting, napkin, ring, candle, holder, plate, wooden, cloth, white, elegant, decor, dining, meal, dinner, party, celebration, event, home, interior, design, style, modern, minimalist, rustic","Premium",""
minimalist-ceramic-candle-holder-with-a-single-dark-candle-on-a-wooden-table,"","minimalist-ceramic-candle-holder-with-a-single-dark-candle-on-a-wooden-table","candle, holder, ceramic, minimalist, table, wooden, dark, tall, unique, single, atmosphere, cozy, warm, decor, object, still, life, design, home, interior, lighting, element, composition, background, brown","Premium",""
sweet-treats-on-wooden-trays-with-textured-background,"","sweet-treats-on-wooden-trays-with-textured-background","sweet, treats, wooden, trays, textured, background, dessert, food, snack, confectionery, pastry, cake, cupcake, cookie, biscuit, stack, round, paper, liner, cup, display, serving, dish, platter, holder","Premium",""
two-sage-green-ceramic-mugs-on-wooden-coasters-on-a-terracotta-surface,"","two-sage-green-ceramic-mugs-on-wooden-coasters-on-a-terracotta-surface","mug, cup, drink, beverage, coffee, tea, ceramic, green, sage, coaster, wood, wooden, surface, table, background, warm, cozy, inviting, still, life, object, kitchen, home, decor, minimalist","Premium",""
cozy-morning-coffee-mug-on-wooden-coaster-with-warm-lighting,"","cozy-morning-coffee-mug-on-wooden-coaster-with-warm-lighting","mug, coffee, cup, drink, beverage, ceramic, kitchen, table, coaster, wood, marble, pattern, speckled, white, brown, warm, lighting, shadow, still, life, home, decor, interior, design, minimalist","Premium",""
minimalist-wooden-candlestick-holder-with-tall-candle-on-brown-background,"","minimalist-wooden-candlestick-holder-with-tall-candle-on-brown-background","candle, holder, wood, minimalist, design, object, decor, home, interior, light, warmth, evening, shadow, table, brown, background, simple, modern, rustic, craft, handmade, artisan, sculpture, decorative, still","Premium",""
gourmet-chocolate-squares-arranged-on-a-wooden-tray-with-cups,"","gourmet-chocolate-squares-arranged-on-a-wooden-tray-with-cups","chocolate, gourmet, sweets, dessert, food, confectionery, treat, snack, cuisine, delicious, tasty, sugar, cocoa, pastry, bakery, sweetness, indulgence, rich, dark, milk, white, bean, bar, praline, bonbon","Premium",""
desk-with-molecular-model-and-pencils-in-a-cup,"","desk-with-molecular-model-and-pencils-in-a-cup","desk, molecular, model, pencils, cup, notebook, science, education, study, learning, chemistry, biology, atom, structure, molecule, research, innovation, discovery, knowledge, creativity, office, workspace, table, surface, object","Premium",""
wooden-puzzle-pieces-and-craft-supplies-on-a-brown-surface,"","wooden-puzzle-pieces-and-craft-supplies-on-a-brown-surface","wood, puzzle, craft, piece, wooden, toy, game, hobby, creativity, design, construction, building, assembly, childhood, education, learning, development, skill, strategy, challenge, leisure, activity, play, fun, indoor","Premium",""
elegant-wooden-candlestick-with-tall-candle-on-earth-toned-surface,"","elegant-wooden-candlestick-with-tall-candle-on-earth-toned-surface","candle, candlestick, holder, light, flame, wax, burn, tall, slender, wooden, wood, carved, ornate, decorative, object, item, home, decor, interior, design, style, elegant, sophisticated, minimalist, simple","Premium",""
